Periodo,Precio
"2023-12",686.986
"2023-11",520.000
"2023-10",434.006
"2023-09",361.672
"2023-08",346.098
"2023-07",331.194
"2023-06",318.455
"2023-05",307.226
"2023-04",294.430
"2023-03",283.106
"2023-02",272.217
"2023-01",261.747
"2022-12",251.680
"2022-11",242.000
"2022-10",231.000
"2022-09",220.000
"2022-08",198.143
"2022-07",194.297
"2022-06",185.785
"2022-05",182.143
"2022-04",179.451
"2022-03",143.265
"2022-02",139.771
"2022-01",135.700
"2021-12",131.859
"2021-11",127.400
"2021-10",124.900
"2021-09",122.453
"2021-08",117.226
"2021-07",112.000
"2021-06",102.279
"2021-05",92.558
"2021-04",90.300
"2021-03",89.975
"2021-02",86.875
"2021-01",77.300
