,pais_iso_3,region_geografica,nombre_pais
0,ESP,EUROPA  OCCIDENTAL,REINO  DE  ESPAÑA
1,DEU,EUROPA  OCCIDENTAL,REPÚBLICA  FEDERAL  DE  ALEMANIA
2,ITA,EUROPA  OCCIDENTAL,REPÚBLICA  ITALIANA
3,BGR,EUROPA  CENTRAL  Y  ORIENTAL,REPÚBLICA  DE  BULGARIA
4,CZE,EUROPA  CENTRAL  Y  ORIENTAL,REPÚBLICA  CHECA
5,FIN,EUROPA  OCCIDENTAL,REPÚBLICA  DE  FINLANDIA
6,GTM,AMÉRICA  CENTRAL  Y  CARIBE,REPÚBLICA  DE  GUATEMALA
7,NOR,EUROPA  OCCIDENTAL,REINO  DE  NORUEGA
8,NLD,EUROPA  OCCIDENTAL,REINO  DE  LOS  PAÍSES  BAJOS
9,PRT,EUROPA  OCCIDENTAL,REPÚBLICA  PORTUGUESA
10,PSE,ASIA,ESTADO  DE  PALESTINA
11,IND,ASIA,REPÚBLICA  DE  LA  INDIA
12,ARM,ASIA,REPÚBLICA  DE  ARMENIA
13,SYR,ASIA,REPÚBLICA  ÁRABE  SIRIA
14,EGY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,REPÚBLICA  ÁRABE  DE  EGIPTO
15,HTI,AMÉRICA  CENTRAL  Y  CARIBE,REPÚBLICA  DE  HAITÍ
16,IRN,ASIA,REPÚBLICA  ISLÁMICA  DE  IRÁN
17,LBY,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,ESTADO  DE  LIBIA
18,MAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,REINO  DE  MARRUECOS
19,SEN,ÁFRICA  SUBSAHARIANA,REPÚBLICA  DE  SENEGAL
20,VNM,ASIA,REPÚBLICA  SOCIALISTA  DE  VIETNAM
21,CHL,AMÉRICA  DEL  SUR,REPÚBLICA  DE  CHILE
22,ECU,AMÉRICA  DEL  SUR,REPÚBLICA  DEL  ECUADOR
23,ZAF,ÁFRICA  SUBSAHARIANA,REPÚBLICA  DE  SUDÁFRICA
24,GRB,EUROPA  OCCIDENTAL,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE
25,ARG,AMÉRICA  DEL  SUR,REPÚBLICA  ARGENTINA
26,BRB,AMÉRICA  CENTRAL  Y  CARIBE,BARBADOS
27,DOM,AMÉRICA  CENTRAL  Y  CARIBE,REPÚBLICA  DOMINICANA
28,ETH,ÁFRICA  SUBSAHARIANA,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA
29,JPN,ASIA,日本国  (JAPÓN)
30,MYS,ASIA,MALASIA
31,SWE,EUROPA  OCCIDENTAL,REINO  DE  SUECIA
32,ISR,ASIA,ESTADO  DE  ISRAEL
33,IRL,EUROPA  OCCIDENTAL,IRLANDA
34,QAT,ASIA,ESTADO  DE  QATAR
35,CRI,AMÉRICA  CENTRAL  Y  CARIBE,REPÚBLICA  DE  COSTA  RICA
36,SLV,AMÉRICA  CENTRAL  Y  CARIBE,REPÚBLICA  DE  EL  SALVADOR
37,BRA,AMÉRICA  DEL  SUR,REPÚBLICA  FEDERATIVA  DEL  BRASIL
38,PRY,AMÉRICA  DEL  SUR,REPÚBLICA  DEL  PARAGUAY
39,USA,AMÉRICA  DEL  NORTE,Estados  Unidos  de  América
40,CHN,ASIA,REPÚBLICA  POPULAR  DE  CHINA
41,BOL,AMÉRICA  DEL  SUR,ESTADO  PLURINACIONAL  DE  BOLIVIA
42,PER,AMÉRICA  DEL  SUR,REPÚBLICA  DEL  PERÚ
43,AGO,ÁFRICA  SUBSAHARIANA,REPÚBLICA  DE  ANGOLA
44,SAU,ASIA,REINO  DE  ARABIA  SAUDITA
45,BEL,EUROPA  OCCIDENTAL,Reino  de  Bélgica
