,sede_id,url,red_social
0,CALEG,https://twitter.com/ArgPortoAlegre,Twitter
1,CALEG,https://www.facebook.com/ArgentinaEnPortoAlegre/,Facebook
2,CALEG,https://www.instagram.com/argenportoalegre/,Instagram
3,CANTO,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/,Facebook
4,CAREN,https://www.facebook.com/profile.php?id=100014152878593,Facebook
5,CBARC,facebook.com/ArgEnBarcelona,Facebook
6,CBARC,twitter.com/ARGenBarcelona,Twitter
7,CBARC,instagram.com/argenbarcelona,Instagram
8,CBARC,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/,Linkedin
9,CBELO,https://www.facebook.com/ArgentinaEnBeloHorizonte/,Facebook
10,CBELO,https://twitter.com/consgralbelo,Twitter
11,CBELO,https://www.instagram.com/consgralbelo/,Instagram
12,CBONN,https://www.facebook.com/ConsuladoArgentinoenBonn,Facebook
13,CBONN,http://www.instagram.com/consulado.argentino.bonn,Instagram
14,CCADI,www.facebook.com/ArgentinaEnCadiz,Facebook
15,CCEST,https://www.facebook.com/ArgEnCiudaddeleste/,Facebook
16,CCEST,https://www.instagram.com/argenciudaddeleste,Instagram
17,CCHIC,https://twitter.com/argenchicago,Twitter
18,CCHIC,https://www.facebook.com/ArgentinaEnChicago,Facebook
19,CCHIC,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured,Youtube
20,CCOCH,wwww.facebook.com/ArgentinaEnCochabamba,Facebook
21,CCOLO,https://www.facebook.com/ArgentinaenColonia,Facebook
22,CCURI,https://www.facebook.com/ArgEnCuritiba/,Facebook
23,CCURI,https://instagram.com/argEncuritiba,Instagram
24,CCURI,https://twitter.com/ARGenCuri,Twitter
25,CFDIG,https://twitter.com/argentinaenfoz,Twitter
26,CFDIG,https://www.facebook.com/ArgentinaEnFozDeIguazu,Facebook
27,CFDIG,https://www.instagram.com/argentinaenfoz/,Instagram
28,CFLOR,https://www.facebook.com/cflor.mrecic.gov.ar,Facebook
29,CGMUM,https://www.facebook.com/argenmumbai,Facebook
30,CGMUM,https://www.instagram.com/argenmumbai,Instagram
31,CGMUM,https://twitter.com/cgmum1,Twitter
32,CGTEL,https://www.facebook.com/ArgentinaEnIsrael/,Facebook
33,CHOUS,https://www.facebook.com/ArgentinaEnHouston/,Facebook
34,CLANG,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel  ,Facebook
35,CLOND,https://www.instagram.com/consuladoargentinoenlondres/,Instagram
36,CMADR,https://www.facebook.com/ArgentinaEnMadridEsp/,Facebook
37,CMALD,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal,Facebook
38,CMALD,https://www.instagram.com/consulado_argentino/,Instagram
