,pais_iso_3,sede_id,sede_desc
0,HTI,EHAIT,Administración
1,THA,ETAIL,Agregado  Administrativo
2,ECU,CGUAY,AGREGADO  CONSULAR
3,RUS,EFRUS,Agregaduría  Agrícola
4,ISR,EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
5,ZAF,ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
6,BOL,EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)
7,NGA,ENIGE,Asuntos  Culturales  y  Prensa
8,KEN,EKENY,Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)
9,MEX,CPCAR,Cónsul  Adjunto
10,ECU,CGUAY,CONSULAR
11,CAN,ECANA,Jefe  de  Cancillería
12,HUN,EUNGR,Jefe  de  Cancillería
13,ARM,EARME,Sección  Administrativa
14,ZAF,ESAFR,Sección  Administrativa
15,CHL,EHILE,Sección  Administrativa
16,AUT,ETRIA,Sección  Bilateral
17,EGY,EEGIP,Sección  Comercial
18,ESP,CBARC,"Sección  Comercial, Turismo  e  Inversiones"
19,IND,CGMUM,Sección  Consular
20,NOR,ENORU,Sección  Consular
21,KOR,ECORE,Sección  Consular
22,DZA,EARGE,Sección  Consular
23,NZL,ENZEL,Sección  Consular
24,ARE,EEARB,Sección  Consular
25,SWE,ESUEC,Sección  Consular
26,FRA,EFRAN,Sección  Consular
27,BOL,CSCRS,Seccion  Cultural
28,CAN,ECANA,Sección  Cultural
29,IDN,EISIA,Sección  Cultural
30,EGY,EEGIP,Sección  Cultural
31,HUN,EUNGR,Sección  Cultural
32,PER,EPERU,"Sección  Cultural, Educación  y  Prensa"
33,COL,ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial"
34,RUS,EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva"
35,HTI,EHAIT,Sección  de  Prensa
36,LBY,ELBIA,Sección  Económica  Comercial
37,RUS,EFRUS,Sección  Económica  y  Comercial
