,pais_iso_3,sedes,promedio_sedes,pib_pc_2022
0,BRA,11,2.1818181818181817,8917.67491057495
1,USA,9,3.888888888888889,76329.5822652029
2,URY,8,1.375,20795.0423535553
3,BOL,7,2.857142857142857,3600.12163486427
4,CHL,7,2.857142857142857,15355.4797401048
5,ESP,7,2.857142857142857,29674.5442864413
6,CHN,6,3.3333333333333335,12720.2163182363
7,CAN,4,2.25,54917.6625226262
8,DEU,4,4.0,48717.9911402128
9,ITA,4,3.75,34776.423234274
10,PRY,4,1.0,6153.05565720044
11,MEX,3,3.6666666666666665,11496.5228716049
12,AUS,2,4.0,65099.8459118981
13,BEL,2,5.5,49926.8254295305
14,CHE,2,3.0,93259.9057183024
15,ECU,2,5.0,6391.28248430643
16,FRA,2,5.0,40886.2532680273
17,IND,2,3.5,2410.88802070689
18,ISR,2,2.5,54930.9388075096
19,PER,2,4.0,7125.82993135746
20,TUR,2,2.5,10674.5041731531
21,ZAF,2,2.5,6766.48125429478
22,AGO,1,6.0,3000.44423053173
23,ARE,1,3.0,53707.9800809111
24,ARG,1,1.0,13650.6046294524
25,ARM,1,3.0,7018.05150434798
26,AUT,1,11.0,52084.6811953372
27,AZE,1,5.0,7762.0738285884
28,BGD,1,1.0,2688.30550090738
29,BGR,1,1.0,13974.4492487792
30,BRB,1,7.0,20238.7842420154
31,COL,1,7.0,6624.16539269075
32,CRI,1,2.0,13365.3563992692
33,CUB,1,5.0,56495.8534866201
34,CZE,1,5.0,27223.0451937676
35,DNK,1,4.0,67790.0539923276
36,DOM,1,3.0,10111.2457110261
37,DZA,1,6.0,4342.63796796522
38,EGY,1,6.0,4295.40749561014
39,ETH,1,4.0,1027.58591095964
40,FIN,1,2.0,50916.2804653208
41,GRC,1,4.0,20867.2690861087
42,GTM,1,3.0,5473.20856444589
43,GUY,1,1.0,18199.4748396968
44,HND,1,4.0,3040.17304596842
45,HTI,1,7.0,1748.25713229469
46,HUN,1,5.0,18390.1849993244
47,IDN,1,5.0,4787.99930771921
48,IRL,1,4.0,103983.29133582
49,IRN,1,1.0,4669.57137993878
50,JAM,1,3.0,6047.2164567796
51,JPN,1,6.0,33823.5707344332
52,KEN,1,6.0,2099.30193826696
53,KOR,1,5.0,32422.5744864287
54,KWT,1,5.0,41079.5226998138
55,LBY,1,2.0,6716.09598462328
56,LCA,1,1.0,13030.9284804245
57,MAR,1,5.0,3441.99145507813
58,MOZ,1,8.0,558.298606448221
59,MYS,1,3.0,11993.1876132994
60,NGA,1,6.0,2162.63373428577
61,NIC,1,1.0,2255.42599496242
62,NLD,1,4.0,57025.01245598
63,NOR,1,3.0,106177.197179078
64,NZL,1,3.0,48418.5916631992
65,PAK,1,2.0,1588.8798287911
66,PAN,1,4.0,17357.628633794
67,PHL,1,4.0,3498.5098055874
68,POL,1,3.0,18688.0044867103
69,PRT,1,5.0,24515.2658507319
70,PSE,1,1.0,3789.32796575153
71,QAT,1,5.0,87661.4501457275
72,ROU,1,2.0,15786.8017421977
73,RUS,1,13.0,15270.7060546875
74,SAU,1,1.0,30447.8837074473
75,SEN,1,1.0,1598.72643336012
76,SGP,1,4.0,82807.6290622897
77,SLV,1,5.0,5127.32166823012
78,SRB,1,4.0,9537.68286673128
79,SUR,1,6.0,5858.82466074423
80,SWE,1,4.0,56373.7885792007
81,THA,1,6.0,6909.9562847948
82,TTO,1,1.0,19629.4653400829
83,TUN,1,7.0,3747.41939149283
84,UKR,1,4.0,4533.9755859375
85,VNM,1,4.0,4163.51429874522
86,ABW,0,0.0,33300.8388187011
87,AFE,0,0.0,1644.06282870117
88,AFW,0,0.0,1785.31221919208
89,ALB,0,0.0,6810.11404104233
90,AND,0,0.0,41992.7727779758
91,ARB,0,0.0,7625.25246366409
92,ASM,0,0.0,19673.3901023197
93,ATG,0,0.0,19919.7266867883
94,BDI,0,0.0,259.025031363515
95,BEN,0,0.0,1302.85103626824
96,BFA,0,0.0,830.03715033429
97,BHR,0,0.0,30146.925026365
98,BHS,0,0.0,31458.300811739
99,BIH,0,0.0,7568.79847995923
100,BLR,0,0.0,7888.26371063212
101,BLZ,0,0.0,6984.21695968163
102,BMU,0,0.0,118774.790656677
103,BRN,0,0.0,37152.4769749763
104,BWA,0,0.0,7738.87880407803
105,CAF,0,0.0,427.058096191269
106,CEB,0,0.0,19420.5837787186
107,CIV,0,0.0,2486.41219394248
108,CMR,0,0.0,1563.48894034459
109,COD,0,0.0,653.656223069354
110,COG,0,0.0,2649.22502230642
111,COM,0,0.0,1484.89246472542
112,CPV,0,0.0,3754.30479371603
113,CSS,0,0.0,12639.7046226653
114,CUW,0,0.0,20501.7522782219
115,CYM,0,0.0,99624.8854439134
116,CYP,0,0.0,32048.240234375
117,DJI,0,0.0,3136.11276804873
118,DMA,0,0.0,8351.19321309293
119,EAP,0,0.0,9954.27685723689
120,EAR,0,0.0,4104.08594846576
121,EAS,0,0.0,12920.4800025269
122,ECA,0,0.0,10379.7729446256
123,ECS,0,0.0,27521.3263134197
124,EMU,0,0.0,41036.9486372554
125,EST,0,0.0,28247.095992497
126,EUU,0,0.0,37432.5603859296
127,FCS,0,0.0,1870.33719810526
128,FJI,0,0.0,5356.16439621614
129,FRO,0,0.0,66979.2773224808
130,FSM,0,0.0,3713.95536246102
131,GAB,0,0.0,8820.34733682316
132,GBR,0,0.0,46125.2557513568
133,GEO,0,0.0,6674.95695994589
134,GHA,0,0.0,2203.55893518303
135,GIN,0,0.0,1515.16794777584
136,GMB,0,0.0,808.278281490135
137,GNB,0,0.0,775.828965745365
138,GNQ,0,0.0,7182.26538205027
139,GRD,0,0.0,9689.08269960317
140,HIC,0,0.0,49557.3857761341
141,HKG,0,0.0,48983.6217162934
142,HPC,0,0.0,1109.01426124728
143,HRV,0,0.0,18570.4039968345
144,IBD,0,0.0,7682.79088931311
145,IBT,0,0.0,6007.37076143112
146,IDA,0,0.0,1534.02309278529
147,IDB,0,0.0,1933.55647255046
148,IDX,0,0.0,1337.01317471944
149,IRQ,0,0.0,5937.19546600271
150,ISL,0,0.0,73466.7786674708
151,JOR,0,0.0,4311.00004622061
152,KAZ,0,0.0,11492.031938762
153,KGZ,0,0.0,1655.07269765044
154,KHM,0,0.0,1759.60802346044
155,KIR,0,0.0,1701.97066488808
156,KNA,0,0.0,20262.2671364514
157,LAC,0,0.0,9795.79172340809
158,LAO,0,0.0,2054.43078086496
159,LBR,0,0.0,754.532842914744
160,LCN,0,0.0,10344.1878492237
161,LDC,0,0.0,1268.33895173377
162,LIC,0,0.0,750.466942491605
163,LKA,0,0.0,3354.38340757565
164,LMC,0,0.0,2561.45757553091
165,LMY,0,0.0,5886.21476419177
166,LSO,0,0.0,969.935760159406
167,LTE,0,0.0,12072.7671900597
168,LTU,0,0.0,25064.808914729
169,LUX,0,0.0,125006.021815486
170,LVA,0,0.0,21779.5042572825
171,MAC,0,0.0,34584.8590938779
172,MCO,0,0.0,240862.18244774
173,MDA,0,0.0,5714.43048840294
174,MDG,0,0.0,516.592615982213
175,MDV,0,0.0,11780.8169102421
176,MEA,0,0.0,8973.86258463188
177,MHL,0,0.0,6225.17922244115
178,MIC,0,0.0,6491.026846104
179,MKD,0,0.0,6591.47131411961
180,MLI,0,0.0,833.297255093071
181,MLT,0,0.0,34127.5105566356
182,MMR,0,0.0,1149.21121846296
183,MNA,0,0.0,3998.58576319152
184,MNE,0,0.0,10093.4387007266
185,MNG,0,0.0,5045.50470031666
186,MRT,0,0.0,2065.15551570106
187,MUS,0,0.0,10256.2303053576
188,MWI,0,0.0,645.158692067185
189,NAC,0,0.0,74097.7538121867
190,NAM,0,0.0,5031.11503011478
191,NCL,0,0.0,35745.1850468561
192,NER,0,0.0,585.404929171026
193,NPL,0,0.0,1336.54604729847
194,NRU,0,0.0,11970.9382798352
195,OED,0,0.0,43431.3188607747
196,OMN,0,0.0,25056.7948608378
197,OSS,0,0.0,16003.0975333558
198,PNG,0,0.0,3115.92292304288
199,PRE,0,0.0,1558.02127680397
200,PRI,0,0.0,35208.6371888414
201,PSS,0,0.0,3912.18563859534
202,PST,0,0.0,50886.3327303654
203,PYF,0,0.0,18984.8510962405
204,RWA,0,0.0,966.232071361993
205,SAS,0,0.0,2287.41612436406
206,SDN,0,0.0,1102.146484375
207,SLB,0,0.0,2205.25180509148
208,SLE,0,0.0,475.795727844622
209,SOM,0,0.0,592.103121972088
210,SSA,0,0.0,1700.1021810069
211,SSF,0,0.0,1701.24538173745
212,SST,0,0.0,14684.0579128602
213,STP,0,0.0,2386.6961758184
214,SVK,0,0.0,21256.8084273666
215,SVN,0,0.0,28439.3340989687
216,SWZ,0,0.0,3986.88663743798
217,SXM,0,0.0,35873.0564894806
218,SYC,0,0.0,13250.4558332375
219,TCA,0,0.0,24917.595805527
220,TCD,0,0.0,716.804381134584
221,TEA,0,0.0,10065.0347477818
222,TEC,0,0.0,11342.4918645243
223,TGO,0,0.0,942.649901579536
224,TJK,0,0.0,1054.18948358818
225,TKM,0,0.0,8792.5485039672
226,TLA,0,0.0,9324.95930422935
227,TLS,0,0.0,2389.2958750343
228,TMN,0,0.0,4001.12264499328
229,TSA,0,0.0,2287.41612436406
230,TSS,0,0.0,1701.24538173745
231,TUV,0,0.0,5221.53279904243
232,TZA,0,0.0,1192.76647949219
233,UGA,0,0.0,964.39586947645
234,UMC,0,0.0,10993.3229334135
235,UZB,0,0.0,2255.15115496772
236,VCT,0,0.0,9125.32477064743
237,VUT,0,0.0,3231.35129995571
238,WLD,0,0.0,12743.8516771218
239,WSM,0,0.0,3745.56036746313
240,XKX,0,0.0,5340.26879794836
241,YEM,0,0.0,650.272218352095
242,ZMB,0,0.0,1456.90157015445
243,ZWE,0,0.0,1676.82148896726
