,nombre_pais,redes_distintas
0,REPÚBLICA  DE  ARMENIA,3
1,REINO  DE  ESPAÑA,4
2,REPÚBLICA  CHECA,2
3,UCRANIA,2
4,REPÚBLICA  ÁRABE  DE  EGIPTO,3
5,REPÚBLICA  ÁRABE  SIRIA,1
6,REPÚBLICA  FEDERATIVA  DEL  BRASIL,3
7,REINO  DE  MARRUECOS,2
8,ESTADO  DE  KUWAIT,1
9,REINO  DE  LOS  PAÍSES  BAJOS,2
10,REINO  DE  NORUEGA,2
11,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,3
12,REPÚBLICA  DE  FINLANDIA,2
13,REPÚBLICA  DE  KENYA,2
14,REPÚBLICA  DEL  ECUADOR,3
15,MALASIA,1
16,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,3
17,Reino  de  Bélgica,6
18,REPÚBLICA  ORIENTAL  DEL  URUGUAY,3
19,EMIRATOS  ÁRABES  UNIDOS,1
20,REPÚBLICA  LIBANESA,1
21,REPÚBLICA  DE  EL  SALVADOR,3
22,REPÚBLICA  DE  MOZAMBIQUE,1
23,FEDERACIÓN  DE  RUSIA,2
24,REPÚBLICA  DE  CUBA,1
25,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,2
26,REPÚBLICA  DE  BULGARIA,2
27,ESTADO  DE  ISRAEL,2
28,REPÚBLICA  DE  COLOMBIA,1
29,REPÚBLICA  ITALIANA,4
30,REPÚBLICA  DE  LA  INDIA,3
31,日本国  (JAPÓN),1
32,REINO  DE  DINAMARCA,1
33,Estados  Unidos  de  América,6
34,BARBADOS,1
35,RUMANIA,2
36,Confederación  Suiza,4
37,REINO  DE  SUECIA,3
38,REPÚBLICA  DEL  PERÚ,2
39,ESTADOS  UNIDOS  MEXICANOS,4
40,REPÚBLICA  DE  COREA,2
41,REPÚBLICA  SOCIALISTA  DE  VIETNAM,2
42,CANADÁ,5
43,REPÚBLICA  DE  FILIPINAS,3
44,REPÚBLICA  FEDERAL  DE  ALEMANIA,2
45,REPÚBLICA  DE  AUSTRIA,3
46,REPÚBLICA  DE  SERBIA,2
47,IRLANDA,2
48,REPÚBLICA  FRANCESA,2
49,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,5
50,REPÚBLICA  DE  AZERBAIYÁN,3
51,REPÚBLICA  DEL  PARAGUAY,3
52,REINO  DE  TAILANDIA,1
53,ESTADO  DE  PALESTINA,1
54,HUNGRÍA,1
55,SANTA  SEDE,4
56,JAMAICA,2
57,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1
58,AUSTRALIA,2
59,REPÚBLICA  DE  POLONIA,1
60,REPÚBLICA  DE  ANGOLA,2
61,REPÚBLICA  DE  SINGAPUR,2
62,REPÚBLICA  DOMINICANA,1
63,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,1
64,REPÚBLICA  FEDERAL  DE  NIGERIA,2
65,REPÚBLICA  DE  CHILE,3
66,REINO  DE  ARABIA  SAUDITA,3
67,REPÚBLICA  HELÉNICA,2
68,REPÚBLICA  TUNECINA,4
69,REPÚBLICA  DE  SUDÁFRICA,3
70,ESTADO  PLURINACIONAL  DE  BOLIVIA,1
71,REPÚBLICA  DE  COSTA  RICA,1
