,nombre_pais,sede_id,red_social,url
0,AUSTRALIA,CSIDN,Facebook,https://www.facebook.com/ArgentinaEnSidney/
1,AUSTRALIA,EAUST,Facebook,https://www.facebook.com/ArgentinaEnAustralia/
2,AUSTRALIA,EAUST,Twitter,https://twitter.com/ARGinAustralia
3,BARBADOS,EBARB,Facebook,https://www.facebook.com/ArgentinaEnBarbados/
4,CANADÁ,CTORO,Facebook,https://www.facebook.com/ArgentinaEnToronto/
5,CANADÁ,CTORO,Instagram,https://www.instagram.com/consuladoargtoronto/
6,CANADÁ,ECANA,Facebook,https://www.facebook.com/ArgentinaInCanada
7,CANADÁ,ECANA,Instagram,https://www.instagram.com/argentinaincanada/
8,CANADÁ,ECANA,Linkedin,https://www.linkedin.com/company/argentinaincanada
9,CANADÁ,ECANA,Twitter,https://twitter.com/ArginCanada
10,CANADÁ,ECANA,Youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
11,CONFEDERACIÓN  SUIZA,EOIRS,Facebook,https://www.facebook.com/ArgentinaEnGinebra
12,CONFEDERACIÓN  SUIZA,EOIRS,Instagram,www.instagram.com/misionargentinaonu
13,CONFEDERACIÓN  SUIZA,EOIRS,Twitter,https://twitter.com/ArgentinaONUOMC  
14,CONFEDERACIÓN  SUIZA,EOIRS,Youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
15,EMIRATOS  ÁRABES  UNIDOS,EEARB,Facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
16,ESTADO  DE  ISRAEL,CGTEL,Facebook,https://www.facebook.com/ArgentinaEnIsrael/
17,ESTADO  DE  ISRAEL,EISRA,Facebook,https://www.facebook.com/ArgEnIsrael
18,ESTADO  DE  ISRAEL,EISRA,Twitter,https://twitter.com/argenisrael
19,ESTADO  DE  KUWAIT,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait
20,ESTADO  DE  PALESTINA,REPAL,Facebook,https://www.facebook.com/ArgEnPalestina
21,ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,Facebook,wwww.facebook.com/ArgentinaEnCochabamba
22,ESTADO  PLURINACIONAL  DE  BOLIVIA,CSCRS,Facebook,www.facebook.com/ArgEnSantaCruz  de  la  Sierra
23,ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,Facebook,https://www.facebook.com/ArgEnVillazon
24,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Facebook,https://www.facebook.com/ARGenMexico/
25,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Instagram,https://www.instagram.com/embargenmexico/
26,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Twitter,https://twitter.com/@ARGenMexico
27,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Youtube,https://www.youtube.com/user/EmbaArgenMX
28,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,Facebook,https://www.facebook.com/ArgentinaEnChicago
29,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,Twitter,https://twitter.com/argenchicago
30,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,Youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
31,ESTADOS  UNIDOS  DE  AMÉRICA,CHOUS,Facebook,https://www.facebook.com/ArgentinaEnHouston/
32,ESTADOS  UNIDOS  DE  AMÉRICA,CLANG,Facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel  
33,ESTADOS  UNIDOS  DE  AMÉRICA,CMIAM,Facebook,https://es-la.facebook.com/consuladoargentino.miami/
34,ESTADOS  UNIDOS  DE  AMÉRICA,CNYOR,Facebook,https://www.facebook.com/ARGenNewYork
35,ESTADOS  UNIDOS  DE  AMÉRICA,CNYOR,Instagram,https://www.instagram.com/argennewyork/
36,ESTADOS  UNIDOS  DE  AMÉRICA,CNYOR,Twitter,https://twitter.com/ARGenNewYork
37,ESTADOS  UNIDOS  DE  AMÉRICA,CNYOR,Youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
38,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Facebook,https://www.facebook.com/ARGinUSA/
39,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Flickr,https://www.flickr.com/photos/ARGinUSA/
40,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Instagram,https://www.instagram.com/ARGinUSA/
41,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Linkedin,www.linkedin.com/in/ARGinUSA
42,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Twitter,https://twitter.com/ARGinUSA
43,ESTADOS  UNIDOS  DE  AMÉRICA,EEEUU,Youtube,https://www.youtube.com/ARGinUSA
44,ESTADOS  UNIDOS  DE  AMÉRICA,EEOEA,Facebook,www.facebook.com/ARGenOEA/
45,ESTADOS  UNIDOS  DE  AMÉRICA,EEOEA,Instagram,www.instagram.com/argenoea/
46,ESTADOS  UNIDOS  DE  AMÉRICA,EEOEA,Twitter,www.twitter.com/ARGenOEA
47,ESTADOS  UNIDOS  DE  AMÉRICA,EEOEA,Youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
48,FEDERACIÓN  DE  RUSIA,EFRUS,Facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
49,FEDERACIÓN  DE  RUSIA,EFRUS,Twitter,https://twitter.com/EmbArgRusia
50,HUNGRÍA,EUNGR,Facebook,https://www.facebook.com/ArgentinaEnHungria
51,IRLANDA,EIRLA,Facebook,https://www.facebook.com/ArgentinaEnIrlanda/
52,IRLANDA,EIRLA,Instagram,https://www.instagram.com/embajadaargentinairlanda
53,JAMAICA,EJAMA,Facebook,https://www.facebook.com/ArgentinaEnJamaica/
54,JAMAICA,EJAMA,Twitter,https://twitter.com/ARGenJamaica
55,MALASIA,EMSIA,Facebook,https://www.facebook.com/ArgentinaEnMalasia
56,REINO  DE  ARABIA  SAUDITA,EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/
57,REINO  DE  ARABIA  SAUDITA,EARAB,Instagram,https://www.instagram.com/arginsaudi/
58,REINO  DE  ARABIA  SAUDITA,EARAB,Twitter,https://twitter.com/ensaudita
59,REINO  DE  DINAMARCA,EDINA,Facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
60,REINO  DE  ESPAÑA,CBARC,Facebook,facebook.com/ArgEnBarcelona
61,REINO  DE  ESPAÑA,CBARC,Instagram,instagram.com/argenbarcelona
62,REINO  DE  ESPAÑA,CBARC,Linkedin,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
63,REINO  DE  ESPAÑA,CBARC,Twitter,twitter.com/ARGenBarcelona
64,REINO  DE  ESPAÑA,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz
65,REINO  DE  ESPAÑA,CMADR,Facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
66,REINO  DE  ESPAÑA,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
